epoch,loss,accuracy,Liccl,Licmrl,Lpsl,val_loss,val_accuracy,lambda1,lambda2,lambda3,log_var_0,log_var_1,log_var_2,log_var_3,anasp_lambda,anasp_alpha,anasp_beta,anasp_gamma,anasp_tau
1,11.867692947387695,0.111328125,1.9302241802215576,0.13983775675296783,0.18118682503700256,11.52424144744873,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0002590417861938,-0.00028601556550711393,-0.0002766112156677991,1.0001782178878784,0.4997173547744751
2,11.811180114746094,0.1162109375,1.8749325275421143,0.12199010699987411,0.21562312543392181,11.549263000488281,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0005075931549072,-0.0005437777726911008,-0.0005269038374535739,1.0003215074539185,0.4994499683380127
3,11.900306701660156,0.095703125,1.9463157653808594,0.15533049404621124,0.229617178440094,11.58655834197998,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000742793083191,-0.0008010658202692866,-0.0007994652260094881,1.0004372596740723,0.49918413162231445
4,11.994282722473145,0.0908203125,1.8684773445129395,0.11818873882293701,0.23032158613204956,11.630825996398926,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0010489225387573,-0.0010908427648246288,-0.0010906759416684508,1.0006271600723267,0.49890726804733276
5,11.959884643554688,0.0849609375,1.8951996564865112,0.13300630450248718,0.2344997376203537,11.67737102508545,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013439655303955,-0.0013661438133567572,-0.0013561246450990438,1.0008294582366943,0.49864307045936584
6,9.598609924316406,0.087890625,1.8087098598480225,0.09728281199932098,0.22923706471920013,9.609878540039062,0.0714285746216774,-0.0007613812922500074,-0.0007573425536975265,-0.000765827193390578,0.0007621903787367046,0.0007621903787367046,-0.0007621903787367046,-0.0007621903787367046,-1.0017788410186768,-0.0012466037878766656,-0.001370856654830277,1.0005346536636353,0.49867111444473267
7,9.552820205688477,0.0986328125,1.9325933456420898,0.1464536041021347,0.22217968106269836,9.616928100585938,0.0714285746216774,-0.0013994122855365276,-0.0013898930046707392,-0.0013894313015043736,0.001401054672896862,0.001401054672896862,-0.001401054672896862,-0.001401054672896862,-1.0022211074829102,-0.001021239091642201,-0.001308291219174862,1.0001227855682373,0.49877679347991943
8,9.53766918182373,0.115234375,1.9342679977416992,0.1587187796831131,0.23757104575634003,9.65793514251709,0.0714285746216774,-0.0019328572088852525,-0.0019239187240600586,-0.0019092441070824862,0.0019345373148098588,0.0019345373148098588,-0.0019345373148098588,-0.0019345373148098588,-1.0026355981826782,-0.0007626706501469016,-0.001217357930727303,0.9997421503067017,0.4989268183708191
